CIUDAD,DIRECCIONES,LAT,LON
Cartagena de Indias,Manzana 239 Lt 10 Sector Los Laures,,
Cartagena de Indias,13 De Junio,10.4029173,-75.4833235
Cartagena de Indias,13 De Junio Carrera. 64 No. 31A - 107,,
Cartagena de Indias,13 De Junio Urb. La India Manzana. L Lote 3,,
Cartagena de Indias,20 De Julio - Lemetre,,
Cartagena de Indias,20 De Julio La Poza,,
Cartagena de Indias,Amberes,10.4060316,-75.5151741
Cartagena de Indias,Barrio 16 De Enero,,
Cartagena de Indias,Barrio Antonio Jose De Sucre,,
Cartagena de Indias,Barrio Blaz De Lezo,,
Cartagena de Indias,Barrio El Espinal,,
Cartagena de Indias,Barrio El Milagro,,
Cartagena de Indias,Barrio El Paraguay,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio Calle Principal,,
Cartagena de Indias,Barrio El Silencio Invacion,,
Cartagena de Indias,Barrio La CampiÃ±a  Calle De Kevin Florez,,
Cartagena de Indias,Barrio La Esperanza,,
Cartagena de Indias,Barrio La Florida Calle La Babanera,,
Cartagena de Indias,Barrio La Sierrita,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nueva Jerusalem Terraza El Chuzo,,
Cartagena de Indias,Barrio Quindio,,
Cartagena de Indias,Barrio Sucre Calle Principal,,
Cartagena de Indias,Blas De Lezo Manzana. 1 Lote 1 Etapa 3,,
Cartagena de Indias,Blas De Lezo Manzana. 1 Lote 12 Etapa 3,,
Cartagena de Indias,Calle El Guarapero Manzana 100 Lt 01,,
Cartagena de Indias,Carrera 87 Manzana 122 Lote 20 Sector Central,,
Cartagena de Indias,Chapacua,10.4011256,-75.4790132
Cartagena de Indias,Chapacua,10.4011256,-75.4790132
Cartagena de Indias,Chapacua,10.4011256,-75.4790132
Cartagena de Indias,Chapacua,10.4011256,-75.4790132
Cartagena de Indias,Chiquinquira,10.4024566,-75.492384
Cartagena de Indias,ChiquinquirÃ¡,10.4024566,-75.492384
Cartagena de Indias,ChiquinquirÃ¡,10.4024566,-75.492384
Cartagena de Indias,Comuneros,10.4334542,-75.5259852
Cartagena de Indias,Daniel Lemaitre,10.4375764,-75.5198918
Cartagena de Indias,Daniellemaitre,,
Cartagena de Indias,El Educador,10.3737237,-75.4834564
Cartagena de Indias,El Progreso Mz68 LtÂ&nbsp;10,,
Cartagena de Indias,Escallonvilla,,
Cartagena de Indias,Espinal,10.4232416,-75.5398565
Cartagena de Indias,Espinal,10.4232416,-75.5398565
Cartagena de Indias,Isla Fuerte,9.3882983,-76.1814972
Cartagena de Indias,La Heroica,10.3760925,-75.4950033
Cartagena de Indias,La Maria,10.4217994,-75.5194976
Cartagena de Indias,La Paz,10.431302,-75.5220195
Cartagena de Indias,La Posa,,
Cartagena de Indias,"La Victoria ,Mirador De Labahia",,
Cartagena de Indias,Las Delicias Carrera 64#30-226,,
Cartagena de Indias,Loma De Pacho,,
Cartagena de Indias,Los Caracoles Manzana-29 Lote 20 Ii Etapa,,
Cartagena de Indias,Los Cerezos Manzana-D Lote 6,,
Cartagena de Indias,Los Cerezos Manzana-L3 Lote 2,,
Cartagena de Indias,Manzana 60 Lt 3 Sector Central,,
Cartagena de Indias,Manzana 76 Lt 23 Transversal 60,,
Cartagena de Indias,Manzana 77 Lt 14 Sector Primero De Msyo,,
Cartagena de Indias,Manzana 126 Lt 19 Sector 19 De Febrero,,
Cartagena de Indias,Manzana 151 Lote 14B Sector San Nicolas,,
Cartagena de Indias,Manzana 173 Lt 4 Sector Victor Blanco,,
Cartagena de Indias,Manzana 180 Lote 15 Sector Primero De Mayo,,
Cartagena de Indias,Manzana 199 Lote 2 Sector Ciudadela La Paz,,
Cartagena de Indias,Manzana 208 Lt 6 Sector Minuto De Dios,,
Cartagena de Indias,Manzana 211 Lt 11Sector CorazÃ³n De Jesus,,
Cartagena de Indias,Manzana 256A Lt 2 Sector Nicolas,,
Cartagena de Indias,Manzana A Lt 18 Sector Central,,
Cartagena de Indias,Manzana D Lt 8 Sector 20 De Enero,,
Cartagena de Indias,Manzana H Lt 146 Sector La Estrella,,
Cartagena de Indias,Manzana I Lote 8B Sector 14 De Febrero,,
Cartagena de Indias,Manzana T Lt 12 Sector Los Angeles,,
Cartagena de Indias,Nazareno,10.3688479,-75.482287
Cartagena de Indias,"Nelson Mandela Sector Los Olivos,Torres",,
Cartagena de Indias,Nelson Mandela Sector Los TrupillosÂ&nbsp;M19Â&nbsp;L8,,
Cartagena de Indias,Nueva Jerusalen,10.3690087,-75.4786361
Cartagena de Indias,Nuevo Bosque,10.3910899,-75.506175
Cartagena de Indias,Nuevo Porvenir,10.4020202,-75.4762102
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle El Tancon,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle El Tancon,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle El Tancon,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle La Villa,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle La Virgen,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle La Virgen,,
Cartagena de Indias,Olaya Herrera Sector Rafael NuÃ±ez Calle La Virgen,,
Cartagena de Indias,Olaya Sector Estela,,
Cartagena de Indias,Pablo Sexto Ii Manzana-9 Lote 1,,
Cartagena de Indias,Pablo Sexto Ii Manzana-9 Lote 10,,
Cartagena de Indias,Pablo Sexto Ii Manzana-14 Lote 6,,
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Palestina,10.4303279,-75.5239822
Cartagena de Indias,Paseo Bolivar,10.4310384,-75.5325377
Cartagena de Indias,Paseo Bolivar,10.4310384,-75.5325377
Cartagena de Indias,Paseo Bolivar Calle Guillermo Posada,,
Cartagena de Indias,Pozon Sec. Ciudadela La Paz Manzana. D2 Torre 3 Apto 401,,
Cartagena de Indias,"Pozon,Escallon Villa",,
Cartagena de Indias,Quindio,,
Cartagena de Indias,San Fernando Sec N.Jerusalen,,
Cartagena de Indias,San JosÃ© Obrero,,
Cartagena de Indias,San JosÃ© Obrero,,
Cartagena de Indias,San Pedro Y Libertad,10.4382838,-75.5275743
Cartagena de Indias,San Pedro Y Libertad,10.4382838,-75.5275743
Cartagena de Indias,San Pedro Y Libertad,10.4382838,-75.5275743
Cartagena de Indias,San Vicente De Paul,10.3893122,-75.4932281
Cartagena de Indias,Santa Maria,10.440963,-75.5174092
Cartagena de Indias,Santa Rita,10.4375404,-75.5275761
Cartagena de Indias,Sector 19 De Febrero Manzana 161A Lt 3,,
Cartagena de Indias,Sector CorazÃ³n De Jesus Manzana 213 Lt 14,,
Cartagena de Indias,Simon Bolivar,10.4232351,-75.5511805
Cartagena de Indias,Transversal 75 Manzana H Lote 47,,
Cartagena de Indias,Urb San Pedro Martin,,
Cartagena de Indias,Villa Fanny .,10.3678532,-75.4781204
Cartagena de Indias,Villa Fanny .,10.3678532,-75.4781204
Cartagena de Indias,Villagrande 1 Manzana-L Prima Lote 5,,
Cartagena de Indias,Zaragocilla,10.3996886,-75.5030894
Cartagena de Indias,Zaragocilla Sector Progrero,,
